1,"Sirens of the Sea",1917,"Thu Sep 20 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Fantasy","Allen Holubar","Grace Helen Bailey, Allen Holubar","Louise Lovely, Carmel Myers, Jack Mulhall, Sydney Deane","unknown",,"tt0008579","4.5","8","movie"
2,"Tom and Jerry",1917,"Mon Sep 03 1917 00:00:00 GMT+1200 (STD)","unknown","USA","Short, Comedy, Western","Tom Mix","Tom Mix","Tom Mix, Sid Jordan, Victoria Forde, Pat Chrisman","unknown",,"tt0008688","7.8","62","movie"
3,"Easy Street",1917,"Mon Jan 22 1917 00:00:00 GMT+1300 (DST)","24","USA","Short, Comedy","Charles Chaplin","unknown","Charles Chaplin, Edna Purviance, Eric Campbell","When Charlie the Tramp wanders into a mission he is smitten by Edna and puts back the collection box which he has taken. Reformed, he becomes a policeman and is assigned to rough-and-tumble Easy Street. Unable to trick or beat Eric the Tough, he puts Eric's head in a gas pipe and anesthetizes him. A hero, he now helps many poor people living on Easy Street. Eric escapes jail, Edna is kidnapped, but Charlie (recharged after sitting on a doper's needle) conquers all. Easy Street is transformed as is Eric.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1OTM4MzU0MF5BMl5BanBnXkFtZTgwMzE5MDgwMjE@._V1_SX300.jpg","tt0007880","7.7","3475","movie"
4,"The Poor Little Rich Girl",1917,"Mon Mar 05 1917 00:00:00 GMT+1300 (DST)","65","USA","Comedy, Drama, Family","Maurice Tourneur","Eleanor Gates, Frances Marion","Mary Pickford, Madlaine Traverse, Charles Wellesley, Gladys Fairbanks","Gwen's family is rich, but her parents ignore her and most of the servants push her around, so she is lonely and unhappy. Her father is concerned only with making money, and her mother ...","https://images-na.ssl-images-amazon.com/images/M/MV5BOTY1ZGJjN2MtMjMzZC00YWI4LTkzZDYtZTEzNjkzYjUxYTYzXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg","tt0008443","6.9","968","movie"
5,"Straight Shooting",1917,"Mon Aug 27 1917 00:00:00 GMT+1200 (STD)","57","USA","Western","John Ford","George Hively","Harry Carey, Duke R. Lee, George Berrell, Molly Malone","Cattleman Flint cuts off farmer Sims' water supply. When Sims' son Ted goes for water, one of Flint's men kills him. Cheyenne is sent to finish off Sims, but finding the family at the newly dug grave, he changes sides.","https://images-na.ssl-images-amazon.com/images/M/MV5BZmEzMDY5ZTQtZjc2Zi00OTlmLWFiZDktNGI1Yzg3ZWRhZDI3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","tt0008634","6.2","259","movie"
6,"The Butcher Boy",1917,"Mon Apr 23 1917 00:00:00 GMT+1200 (STD)","30","USA","Short, Comedy","Roscoe 'Fatty' Arbuckle","Roscoe 'Fatty' Arbuckle, Joseph Anthony Roach","Roscoe 'Fatty' Arbuckle, Buster Keaton, Al St. John, Josephine Stevens","Customers and clerks frolic in a general store. Roscoe walks out of the freezer wearing a fur coat, then does some clever cleaver tossing. In Buster's film debut he buys a pail of molasses.","https://images-na.ssl-images-amazon.com/images/M/MV5BMzU5Mzk5MDc5Nl5BMl5BanBnXkFtZTcwNjg0MDcyMQ@@._V1_SX300.jpg","tt0007761","6.4","937","movie"
7,"Teddy at the Throttle",1917,"Sun Apr 15 1917 00:00:00 GMT+1200 (STD)","18","USA","Comedy, Short","Clarence G. Badger","unknown","Bobby Vernon, Gloria Swanson, Wallace Beery, May Emory","Gloria Dawn lives down the hall from her sweetheart, Bobbie Knight. The dishonest Henry Black is Gloria's guardian, and he is also in charge of Bobbie's inheritance. The scheming guardian ...","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyODA3MTgyNV5BMl5BanBnXkFtZTcwMTczOTkxMQ@@._V1_SX300.jpg","tt0007433","7.8","359","movie"
8,"Coney Island",1917,"Mon Oct 29 1917 00:00:00 GMT+1300 (DST)","25","USA","Short, Comedy","Roscoe 'Fatty' Arbuckle","unknown","Roscoe 'Fatty' Arbuckle","Roscoe tries to dump his wife so he can enjoy the beach attractions. Buster arrives with Alice who is taken away from him by Al who loses her to Roscoe. Bathing beauties and Keystone Kops abound.","http://ia.media-imdb.com/images/M/MV5BMTk2MTQ1MDMyMF5BMl5BanBnXkFtZTcwMjI4MjkxMQ@@._V1_SX300.jpg","tt0007819","6.4","1006","movie"
9,"Rebecca of Sunnybrook Farm",1917,"Sat Sep 22 1917 00:00:00 GMT+1200 (STD)","78","USA","Comedy, Drama","Marshall Neilan","Frances Marion, Charlotte Thompson, Kate Douglas Wiggin","Mary Pickford, Eugene O'Brien, Helen Jerome Eddy, Charles Ogle","With her family in financial difficulties, Rebecca is sent to live with her two strict, unfeeling aunts, who do not appreciate the young girl's charm and energy. Rebecca must make new friends and must adjust to surroundings that are sometimes difficult. But she still finds time to think of numerous ways to help others in her new hometown.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NDA4NjcyN15BMl5BanBnXkFtZTgwMDY5NzMwMjE@._V1_SX300.jpg","tt0008499","7.5","589","movie"
10,"Tom Sawyer",1917,"Mon Dec 10 1917 00:00:00 GMT+1300 (DST)","59","USA","Adventure, Comedy, Drama","William Desmond Taylor","Mark Twain, Julia Crawford Ivers","Jack Pickford, George Hackathorne, Alice Marvin, Edythe Chapman","Tom Sawyer, a young Missouri lad, finds fun and adventure with his pals Joe Harper and Huckleberry Finn, running away to hide out on Jackson's Island and pretending to be Mississippi River pirates. When Tom is believed dead by his grieving Aunt Polly, he sneaks back to town to attend his own funeral.","http://ia.media-imdb.com/images/M/MV5BZThhYTU4NjMtMjQ4ZC00ZjE2LWI0MjMtMzdiZTU3OWE0MmI0XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg","tt0008687","6.4","96","movie"
